REGIONS,NOVEMBER,,APRIL,#NAME?,,,NOVEMBER,,APRIL,#NAME?,,,NOVEMBER,,APRIL,#NAME?,,,
,,,%,CHANGE,,% CHANGE,,,%,CHANGE,,% CHANGE,,,%,CHANGE,,% CHANGE,
,2017,2016,2017-18,2016-17,,,2017,2016,2017-18,2016-17,,,2017,2016,2017-18,2016-17,,,
,,,,,,AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,
EASTERN,2076,1535,35.2,15829,12604,25.6,19660,16792,17.1,146460,114577,27.8,21736,18327,18.6,162289,127181,27.6,
WESTERN,9172,8386,9.4,70727,66612,6.2,40714,35444,14.9,318268,289428,10,49886,43830,13.8,388995,356040,9.3,
SOUTHERN,15035,13686,9.9,118597,108369,9.4,46850,44778,4.6,361846,339071,6.7,61885,58464,5.9,480443,447440,7.4,
NORTHERN,10472,9710,7.8,82008,75107,9.2,42806,37529,14.1,343317,297626,15.4,53278,47239,12.8,425325,372733,14.1,
NORTH EAST,42,38,10.5,352,356,-1.1,5781,6101,-5.2,47416,42269,12.2,5823,6139,-5.1,47768,42625,12.1,
TOTAL,36797,33355,10.3,287513,263048,9.3,155811,140644,10.8,1217307,1082971,12.4,192608,173999,10.7,1504820,1346019,11.8,
,,,,,,PASSENGERS (IN NUMBER),,,,,,,,,,,,,
EASTERN,238212,176007,35.3,1793687,1485805,20.7,2666038,2064808,29.1,19273768,14366420,34.2,2904250,2240815,29.6,21067455,15852225,32.9,
WESTERN,1442983,1318656,9.4,10622025,9816780,8.2,5616671,4857225,15.6,41901801,37515906,11.7,7059654,6175881,14.3,52523826,47332686,11,
SOUTHERN,2045580,1885809,8.5,17175046,15968432,7.6,5779505,5035815,14.8,43362346,37767027,14.8,7825085,6921624,13.1,60537392,53735459,12.7,
NORTHERN,1689118,1510450,11.8,12469989,11001163,13.4,5860332,5137671,14.1,45105383,39080981,15.4,7549450,6648121,13.6,57575372,50082144,15,
NORTH EAST,1756,1874,-6.3,23673,23863,-0.8,684451,588849,16.2,5405413,4250307,27.2,686207,590723,16.2,5429086,4274170,27,
TOTAL,5417649,4892796,10.7,42084420,38296043,9.9,20606997,17684368,16.5,155048711,132980641,16.6,26024646,22577164,15.3,197133131,171276684,15.1,
,,,,,,,,,FREIGHT,(IN,TONNES),,,,,,,,
EASTERN,5542,5275,5.1,42211,37392,12.9,10937,9252,18.2,93312,85832,8.7,16479,14527,13.4,135523,123224,10,
WESTERN,60388,47255,27.8,450690,367670,22.6,31867,25855,23.3,251003,219755,14.2,92255,73110,26.2,701693,587425,19.5,
SOUTHERN,59527,52965,12.4,490632,434953,12.8,26176,22584,15.9,212987,199590,6.7,85703,75549,13.4,703619,634543,10.9,
NORTHERN,55200,43977,25.5,446001,369208,20.8,29061,25742,12.9,232177,220518,5.3,84261,69719,20.9,678178,589726,15,
NORTH EAST,0,0,-,2,2,0,3074,2752,11.7,23853,19924,19.7,3074,2752,11.7,23855,19926,19.7,
TOTAL,180657,149472,20.9,1429536,1209225,18.2,101115,86185,17.3,813332,745619,9.1,281772,235657,19.6,2242868,1954844,14.7,
,,,INTERNATIONAL,,,,DOMESTIC,,,,,,,,TOTAL,,,,
REGIONS,,,,,,,,,,,,,,,,,,,
,NOVEMBER,,APRIL,#NAME?,,NOVEMBER,APRIL,#NAME?,,,,NOVEMBER,,,,,,APRIL -NOVEMBER,
,2017,,2016,2017-18,2016-17,2017,2016,2017-18,2016-17,,,2017,2016,,,,,2017-18,2016-17
,,,,,,AIRCRAFT MOVEMENTS (SHARE IN PER CENTAGE),,,,,,,,,,,,,
EASTERN,5.64,,4.6,5.51,4.79,12.62,11.94,12.03,10.58,,,11.29,10.53,,,,,10.78,9.45
WESTERN,24.93,,25.14,24.6,25.32,26.13,25.2,26.15,26.73,,,25.9,25.19,,,,,25.85,26.45
SOUTHERN,40.86,,41.03,41.25,41.2,30.07,31.84,29.73,31.31,,,32.13,33.6,,,,,31.93,33.24
NORTHERN,28.46,,29.11,28.52,28.55,27.47,26.68,28.2,27.48,,,27.66,27.15,,,,,28.26,27.69
NORTH EAST,0.11,,0.11,0.12,0.14,3.71,4.34,3.9,3.9,,,3.02,3.53,,,,,3.17,3.17
TOTAL,100,,100,100,100,100,100,100,100,,,100,100,,,,,100,100
,,,,,,PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,,
EASTERN,4.4,,3.6,4.26,3.88,12.94,11.68,12.43,10.8,,,11.16,9.93,,,,,10.69,9.26
WESTERN,26.63,,26.95,25.24,25.63,27.26,27.47,27.02,28.21,,,27.13,27.35,,,,,26.64,27.64
SOUTHERN,37.76,,38.54,40.81,41.7,28.05,28.48,27.97,28.4,,,30.07,30.66,,,,,30.71,31.37
NORTHERN,31.18,,30.87,29.63,28.73,28.44,29.05,29.09,29.39,,,29.01,29.45,,,,,29.21,29.24
NORTH EAST,0.03,,0.04,0.06,0.06,3.32,3.33,3.49,3.2,,,2.64,2.62,,,,,2.75,2.5
TOTAL,100,,100,100,100,100,100,100,100,,,100,100,,,,,100,100
,,,,,,FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,,
EASTERN,3.07,,3.53,2.95,3.09,10.82,10.74,11.47,11.51,,,5.85,6.16,,,,,6.04,6.3
WESTERN,33.43,,31.61,31.53,30.41,31.52,30,30.86,29.47,,,32.74,31.02,,,,,31.29,30.05
SOUTHERN,32.95,,35.43,34.32,35.97,25.89,26.2,26.19,26.77,,,30.42,32.06,,,,,31.37,32.46
NORTHERN,30.56,,29.42,31.2,30.53,28.74,29.87,28.55,29.58,,,29.9,29.58,,,,,30.24,30.17
NORTH EAST,0,,0,0,0,3.04,3.19,2.93,2.67,,,1.09,1.17,,,,,1.06,1.02
TOTAL,100,,100,100,100,100,100,100,100,,,100,100,,,,,100,100
