"के्षत्र
REGIONS",अंतराष्ट्ीय INTERNATIONAL,घरेलू  DOMESTIC,कुल TOTAL,,,,,,,,,,,,,,,
,"मार्
March","%पररवर्तत
Change","अपै्रल से मार्
April to March","%पररवर्तत
Change","मार्
March","%पररवर्तत
Change","अपै्रल से मार्
April to March","%पररवर्तत
Change","मार्
March","%पररवर्तत
Change","अपै्रल से मार्
April to March","%पररवर्तत
Change",,,,,,
,2019,2018,,,,2019,2018,,,,2019,2018,2018-19,,,,,
वायुयान प्रर्ालन (संख्या म ) AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2333,2158,8.1,25869,24449,5.8,22736,22229,2.3,267979,230203,16.4,25069,24387,2.8,293848,254652,15.4
WESTERN,9193,9437,-2.6,111375,107877,3.2,41594,42759,-2.7,532491,487182,9.3,50787,52196,-2.7,643866,595059,8.2
SOUTHERN,15488,15378,0.7,182029,179830,1.2,58384,56142,4,706933,572922,23.4,73872,71520,3.3,888962,752752,18.1
NORTHERN,10671,11098,-3.8,132724,125266,6,45953,47596,-3.5,560465,524634,6.8,56624,58694,-3.5,693189,649900,6.7
NORTH EAST,56,42,33.3,644,504,27.8,6728,6604,1.9,85455,71684,19.2,6784,6646,2.1,86099,72188,19.3
कुल TOTAL,37741,38113,-1,452641,437926,3.4,175395,175330,0,2153323,1886625,14.1,213136,213443,-0.1,2605964,2324551,12.1
यात्री  (संख्या म ) PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,285671,259169,10.2,3056379,2837795,7.7,3096067,3044764,1.7,36214969,30820886,17.5,3381738,3303933,2.4,39271348,33658681,16.7
WESTERN,1489017,1467728,1.5,17712142,16723276,5.9,5509122,5797578,-5,70890601,65154325,8.8,6998139,7265306,-3.7,88602743,81877601,8.2
SOUTHERN,2281710,2295652,-0.6,27393669,26282919,4.2,6790822,6578183,3.2,82765242,69010164,19.9,9072532,8873835,2.2,110158911,95293083,15.6
NORTHERN,1832194,1833054,0,21287509,19600077,8.6,6098608,6466509,-5.7,75557615,69993759,7.9,7930802,8299563,-4.4,96845124,89593836,8.1
NORTH EAST,1841,2066,-10.9,31069,31449,-1.2,804414,762391,5.5,9790538,8298750,18,806255,764457,5.5,9821607,8330199,17.9
कुल TOTAL,5890433,5857669,0.6,69480768,65475516,6.1,22299033,22649425,-1.5,275218965,243277884,13.1,28189466,28507094,-1.1,344699733,308753400,11.6
माल (मैर्ट्क ट्न म ) FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,5516,4626,19.2,61262,60852,0.7,10773,11332,-4.9,137988,136697,0.9,16289,15958,2.1,199250,197549,0.9
WESTERN,64214,66932,-4.1,725359,691647,4.9,34111,33780,1,421433,377115,11.8,98325,100712,-2.4,1146792,1068762,7.3
SOUTHERN,69018,68243,1.1,754550,732495,3,27150,29338,-7.5,332772,318614,4.4,96168,97581,-1.4,1087322,1051109,3.4
NORTHERN,56437,55552,1.6,658834,658972,0,37972,29550,28.5,429727,346113,24.2,94409,85102,10.9,1088561,1005085,8.3
NORTH EAST,0,0,-,27,2,1250,3217,2860,12.5,38067,34521,10.3,3217,2860,12.5,38094,34523,10.3
कुल TOTAL,195185,195353,-0.1,2200032,2143968,2.6,113223,106860,6,1359987,1213060,12.1,308408,302213,2,3560019,3357028,6

