D,??????????? INTERNATIONAL,?????  DOMESTIC,??? TOTAL,,,,,,,,,
,?????? APRIL,"%???????Change",?????? APRIL,,,,"%???????Change",?????? APRIL,"%???????Change",,,
,2019,2018,,,,,,,2019,2018,,
,,,,,,,,,,,,
EASTERN,2062,2005,2.8,,,,22218,21203,4.8,24280,23208,4.6
WESTERN,7541,8943,-15.7,,,,39786,42050,-5.4,47327,50993,-7.2
SOUTHERN,15180,14810,2.5,,,,55318,55383,-0.1,70498,70193,0.4
NORTHERN,9486,10648,-10.9,,,,43170,46376,-6.9,52656,57024,-7.7
NORTH EAST,56,34,64.7,,,,6342,6749,-6,6398,6783,-5.7
TOTAL,34325,36440,-5.8,,,,166834,171761,-2.9,201159,208201,-3.4
(,,,,,,,,,,,,
EASTERN,259718,238060,9.1,,,,2931437,2967340,-1.2,3191155,3205400,-0.4
WESTERN,1272411,1379238,-7.7,,,,5230741,5803643,-9.9,6503152,7182881,-9.5
SOUTHERN,2417202,2321597,4.1,,,,6623173,6688043,-1,9040375,9009640,0.3
NORTHERN,1595689,1675361,-4.8,,,,5584151,6345724,-12,7179840,8021085,-10.5
NORTH EAST,2258,2191,3.1,,,,782765,794182,-1.4,785023,796373,-1.4
TOTAL,5547278,5616447,-1.2,,,,21152267,22598932,-6.4,26699545,28215379,-5.4
(,,,,,,,,,,,,
EASTERN,5153,4551,13.2,,,,9920,11130,-10.9,15073,15681,-3.9
WESTERN,53174,61744,-13.9,,,,31427,31684,-0.8,84601,93428,-9.4
SOUTHERN,62303,61648,1.1,,,,25356,26796,-5.4,87659,88444,-0.9
NORTHERN,53015,54991,-3.6,,,,31894,28796,10.8,84909,83787,1.3
NORTH EAST,0,0,#DIV/0!,,,,2913,2995,-2.7,2913,2995,-2.7
TOTAL,173645,182934,-5.1,,,,101510,101401,0.1,275155,284335,-3.2
,??????????? INTERNATIONAL,?????  DOMESTIC,??? TOTAL,,,,,,,,,
,?????? APRIL,?????? APRIL,?????? APRIL,,,,,,,,,
,2019,2018,2019,,,,2018,2019,2018,,,
,,,,,,,,,,,,
EASTERN,6.01,5.5,13.32,,,,12.34,12.07,11.15,,,
WESTERN,21.97,24.54,23.85,,,,24.48,23.53,24.49,,,
SOUTHERN,44.22,40.64,33.16,,,,32.24,35.05,33.71,,,
NORTHERN,27.64,29.22,25.88,,,,27,26.18,27.39,,,
NORTH EAST,0.16,0.09,3.8,,,,3.93,3.18,3.26,,,
TOTAL,100,100,100,,,,100,100,100,,,
(,,,,,,,,,,,,
EASTERN,4.68,4.24,13.86,,,,13.13,11.95,11.36,,,
WESTERN,22.94,24.56,24.73,,,,25.68,24.36,25.46,,,
SOUTHERN,43.57,41.34,31.31,,,,29.59,33.86,31.93,,,
NORTHERN,28.77,29.83,26.4,,,,28.08,26.89,28.43,,,
NORTH EAST,0.04,0.04,3.7,,,,3.51,2.94,2.82,,,
TOTAL,100,100,100,,,,100,100,100,,,
(,,,,,,,,,,,,
EASTERN,2.97,2.49,9.77,,,,10.98,5.48,5.51,,,
WESTERN,30.62,33.75,30.96,,,,31.25,30.75,32.86,,,
SOUTHERN,35.88,33.7,24.98,,,,26.43,31.86,31.11,,,
NORTHERN,30.53,30.06,31.42,,,,28.4,30.86,29.47,,,
NORTH EAST,0,0,2.87,,,,2.95,1.06,1.05,,,
0,100,100,100,,,,100,100,100,,,
