"के्षत्र
REGIONS",अंतराष्ट्ीय INTERNATIONAL,घरेलू  DOMESTIC,कुल TOTAL,,,,,,,,,,,,,,,
,"मई
May","%पररवहतत
Change","अपै्रल से मई
April to May","%पररवहतत
Change","मई
May","%पररवहतत
Change","अपै्रल से मई
April to May","%पररवहतत
Change","मई
May","%पररवहतत
Change","अपै्रल से मई
April to May","%पररवहतत
Change",,,,,,
,2019,2018,,,,2019,2018,,,,2019,2018,,,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2087,2027,3,4149,4032,2.9,22457,22655,-0.9,44675,43858,1.9,24544,24682,-0.6,48824,47890,2
WESTERN,7630,9233,-17.4,15171,18176,-16.5,44238,44678,-1,84024,86728,-3.1,51868,53911,-3.8,99195,104904,-5.4
SOUTHERN,15464,15580,-0.7,30644,30390,0.8,58434,59170,-1.2,113752,114553,-0.7,73898,74750,-1.1,144396,144943,-0.4
NORTHERN,9731,10958,-11.2,19217,21606,-11.1,46313,47401,-2.3,89483,93777,-4.6,56044,58359,-4,108700,115383,-5.8
NORTH EAST,82,38,115.8,138,72,91.7,6499,7100,-8.5,12841,13849,-7.3,6581,7138,-7.8,12979,13921,-6.8
कुल TOTAL,34994,37836,-7.5,69319,74276,-6.7,177941,181004,-1.7,344775,352765,-2.3,212935,218840,-2.7,414094,427041,-3
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,254350,245244,3.7,514068,483304,6.4,3178893,3151992,0.9,6110330,6119332,-0.1,3433243,3397236,1.1,6624398,6602636,0.3
WESTERN,1317393,1469086,-10.3,2589804,2848324,-9.1,5894479,6011080,-1.9,11125220,11814723,-5.8,7211872,7480166,-3.6,13715024,14663047,-6.5
SOUTHERN,2484950,2443190,1.7,4902152,4764787,2.9,7249248,7003997,3.5,13872421,13692040,1.3,9734198,9447187,3,18774573,18456827,1.7
NORTHERN,1628293,1663856,-2.1,3223982,3339217,-3.5,6063611,6312817,-3.9,11647762,12658541,-8,7691904,7976673,-3.6,14871744,15997758,-7
NORTH EAST,2733,2143,27.5,4991,4334,15.2,833917,803480,3.8,1616682,1597662,1.2,836650,805623,3.9,1621673,1601996,1.2
कुल TOTAL,5687719,5823519,-2.3,11234997,11439966,-1.8,23220148,23283366,-0.3,44372415,45882298,-3.3,28907867,29106885,-0.7,55607412,57322264,-3
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,4969,4800,3.5,10122,9351,8.2,10755,13060,-17.6,20675,24190,-14.5,15724,17860,-12,30797,33541,-8.2
WESTERN,59415,64163,-7.4,112589,125907,-10.6,33121,35835,-7.6,64548,67519,-4.4,92536,99998,-7.5,177137,193426,-8.4
SOUTHERN,62952,65246,-3.5,125255,126894,-1.3,28672,29093,-1.4,54028,55889,-3.3,91624,94339,-2.9,179283,182783,-1.9
NORTHERN,54035,57350,-5.8,107050,112341,-4.7,36263,33215,9.2,68157,62011,9.9,90298,90565,-0.3,175207,174352,0.5
NORTH EAST,0,1,-100,0,1,-100,3229,2788,15.8,6142,5783,6.2,3229,2789,15.8,6142,5784,6.2
कुल TOTAL,181371,191560,-5.3,355016,374494,-5.2,112040,113991,-1.7,213550,215392,-0.9,293411,305551,-4,568566,589886,-3.6

