"के्षत्र
REGIONS",अंतराष्ट्ीय INTERNATIONAL,घरेलू  DOMESTIC,कुल TOTAL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,2019-20,2018-19,,,,2019-20,2018-19,,,,2019-20,2018-19,,,,
AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,,,,
EASTERN,2106,1952,7.9,6255,5984,4.5,22286,21692,2.7,66961,65550,2.2,24392,23644,3.2,73216,71534,2.4
WESTERN,7536,8916,-15.5,22707,27092,-16.2,45006,43144,4.3,129030,129872,-0.6,52542,52060,0.9,151737,156964,-3.3
SOUTHERN,15174,14956,1.5,45818,45346,1,56686,58092,-2.4,170438,172645,-1.3,71860,73048,-1.6,216256,217991,-0.8
NORTHERN,9685,10642,-9,28902,32248,-10.4,45697,46545,-1.8,135180,140322,-3.7,55382,57187,-3.2,164082,172570,-4.9
NORTH EAST,88,36,144.4,226,108,109.3,6580,6796,-3.2,19421,20645,-5.9,6668,6832,-2.4,19647,20753,-5.3
कुल TOTAL,34589,36502,-5.2,103908,110778,-6.2,176255,176269,0,521030,529034,-1.5,210844,212771,-0.9,624938,639812,-2.3
PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,,,,
EASTERN,266129,221908,19.9,780197,705212,10.6,3234487,2979292,8.6,9344817,9098624,2.7,3500616,3201200,9.4,10125014,9803836,3.3
WESTERN,1282841,1337333,-4.1,3872645,4185657,-7.5,5985630,5707147,4.9,17110850,17521870,-2.3,7268471,7044480,3.2,20983495,21707527,-3.3
SOUTHERN,2394731,2181778,9.8,7296883,6946565,5,6948769,6576592,5.7,20821190,20268632,2.7,9343500,8758370,6.7,28118073,27215197,3.3
NORTHERN,1686901,1741354,-3.1,4910883,5080571,-3.3,6293167,6225665,1.1,17940929,18884206,-5,7980068,7967019,0.2,22851812,23964777,-4.6
NORTH EAST,2076,2191,-5.2,7067,6525,8.3,838071,790060,6.1,2454753,2387722,2.8,840147,792251,6,2461820,2394247,2.8
कुल TOTAL,5632678,5484564,2.7,16867675,16924530,-0.3,23300124,22278756,4.6,67672539,68161054,-0.7,28932802,27763320,4.2,84540214,85085584,-0.6
FREIGHT (IN TONNES),,,,,,,,,,,,,,,,,,
EASTERN,5110,4601,11.1,15232,13952,9.2,9173,12227,-25,29848,36417,-18,14283,16828,-15.1,45080,50369,-10.5
WESTERN,51900,61894,-16.1,164489,187801,-12.4,33183,36919,-10.1,97731,104438,-6.4,85083,98813,-13.9,262220,292239,-10.3
SOUTHERN,60347,62359,-3.2,185602,189253,-1.9,27332,29273,-6.6,81360,85162,-4.5,87679,91632,-4.3,266962,274415,-2.7
NORTHERN,48734,54576,-10.7,155784,166917,-6.7,34734,32448,7,102891,94459,8.9,83468,87024,-4.1,258675,261376,-1
NORTH EAST,0,0,-,0,1,-100,2919,2646,10.3,9061,8429,7.5,2919,2646,10.3,9061,8430,7.5
कुल TOTAL,166091,183430,-9.5,521107,557924,-6.6,107341,113513,-5.4,320891,328905,-2.4,273432,296943,-7.9,841998,886829,-5.1
