%पररवहििREGIONS,July,%पररवहिि April to July %पररवहिि,July,%पररवहिि April to July,%पररवहिि,July,%पररवहिि,April to July,,,,,,
,,Change  Change,,Change,Change,,Change,,Change,,,,,
,2019,2018 2019-20 2018-19,2019,2018 2019-20 2018-19,,2019,2018 2019-20,2018-19,,,,,,
,,,वायुयान प्रचालन (संख्या म ) AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,
EASTERN,2203,2021 ,9.0 ,8458 ,8005 ,5.7,22934,21645 ,6.0, 89895,87195, 3.1,25137,23666, 6.2,98353,95200, 3.3,,,,,
WESTERN,7970,9070, -12.1, 30677, 36162, -15.2,46050,43619, 5.6 ,175080, 173491,0.9,54020,52689 ,2.5,205757,209653, -1.9,,,,,
SOUTHERN,15749,15347 ,2.6,61567, 60693 ,1.4,57080,58120, -1.8 ,227518, 230765,-1.4,72829,73467 ,-0.9,289085,291458 ,-0.8,,,,,
NORTHERN,10516,11428 ,-8.0 ,39418 ,43676, -9.7,46568,47126 ,-1.2 ,181748, 187448,-3,57084,58554 ,-2.5,221166,231124 ,-4.3,,,,,
NORTH EAST,182,60, 203.3 ,408, 168 ,142.9,6585,6775 ,-2.8 ,26006,27420, -5.2,6767,6835, -1.0,26414,27588 ,-4.3,,,,,
कुल TOTAL,36620,37926 -3.4 140528 148704 -5.5,179217,177285 1.1 700247 706319,-0.9,215837,215211 0.3,840775,855023 -1.7,,,,,
,,,यात्री  (संख्या म ) PASSENGERS (IN NUMBER),,,,,,,,,,,
EASTERN,263441,234168 ,12.5, 1043638 ,939380 ,11.1,3037290,2885222 ,5.3 ,12382107, 11983846,3.3,3300731,3119390, 5.8 ,13425745,12923226,3.9,,,,,
WESTERN,1265491,1369361, -7.6 ,5138136 ,5555018, -7.5,5917295,5859937 ,1.0, 23028145, 23381807,-1.5,7182786,7229298, -0.6 ,28166281,28936825,-2.7,,,,,
SOUTHERN,2480322,2369588 ,4.7, 9777098, 9316153 ,4.9,6893645,6961520, -1.0 ,27714835, 27230152,1.8,9373967,9331108 ,0.5, 37491933,36546305,2.6,,,,,
NORTHERN,1684184,1759313 ,-4.3, 6595067 ,6839884 ,-3.6,6484688,6389906 ,1.5 ,24425617, 25274112,-3.4,8168872,8149219, 0.2 ,31020684,32113996,-3.4,,,,,
NORTH EAST,5756,5030 ,14.4 ,12823 ,11555 ,11.0,871601,840245 ,3.7, 3326354, 3227967,3,877357,845275, 3.8, 3339177,3239522 3.1,,,,,
कुल TOTAL,5699194,5737460 -0.7 ,22566762 ,22661990 ,-0.4,23204519,22936830, 1.2 ,90877058, 91097884,-0.2,28903713,28674290, 0.8, 113443820,113759874,-0.3,,,,,
,,,माल (मैहरक रन म ) FREIGHT (IN TONNES),,,,,,,,,,,
EASTERN,5453,5566 ,-2.0 ,20685 ,19518 ,6.0,12830,12738 ,0.7 ,42678,49155, -13.2,18283,18304 ,-0.1,63363,68673 ,-7.7,,,,,
WESTERN,53166,58940 ,-9.8, 217655 ,246741 ,-11.8,35895,36989, -3.0, 133626, 141427,-5.5,89061,95929 ,-7.2,351281,388168, -9.5,,,,,
SOUTHERN,63288,66117 ,-4.3 ,248890 ,255370, -2.5,28747,31093, -7.5 ,110107, 116255,-5.3,92035,97210, -5.3,358997,371625 ,-3.4,,,,,
NORTHERN,54158,55050 ,-1.6, 209942, 221967, -5.4,36239,33109, 9.5 ,139130, 127568,9.1,90397,88159, 2.5,349072,349535 ,-0.1,,,,,
NORTH EAST,0,0 , 0 ,1, -100.0,3231,2941, 9.9 ,12292,11370 ,8.1,3231,2941, 9.9,12292,11371 ,8.1,,,,,
कुल TOTAL,176065,185673 -5.2 697172 743597 -6.2,116942,116870 0.1 437833 445775,-1.8,293007,302543 -3.2 1135005,,1189372 -4.6,,,,,
,,,अंिराष्ट्ीय INTERNATIONAL,,,,घरेलू  DOMESTIC,,,,,कुल TOTAL,,

