REGIONS,, April to August ,अगस्त AUGUST,,April to August,,अगस्त AUGUST, April to August,,
,,Change  Change,,Change,,Change,,Change,,Change
,2019 2018,2019-20 2018-19,2019 2018,,2019-20 2018-19,,2019 2018,2019-20,2018-19,
,,वायुयान प्रचालन (संख्या म ) AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,
EASTERN,2177 ,2007,8.5, 10635, 10012 ,6.2,23193 ,22005,5.4,113088, 109200,3.6,25370, 24012,5.7, 123723,119212,3.8
WESTERN,8576 ,9120,-6.0 ,39253 ,45282 ,-13.3,46253 ,44278,4.5,221333 ,217769,1.6,54829, 53398,2.7, 260586,263051,-0.9
SOUTHERN,15794, 15049,5.0 ,77361 ,75742 ,2.1,56353, 57189,-1.5,283871 ,287954,-1.4,72147, 72238,-0.1, 361232,363696,-0.7
NORTHERN,10923, 11081,-1.4 ,50485 ,54757, -7.8,46942 ,48247,-2.7,228831, 235695,-2.9,57865 ,59328,-2.5, 279316,290452,-3.8
NORTH EAST,154, 62,148.4 ,562 ,230 ,144.3,6754 ,7147,-5.5,32760, 34567,-5.2,6908, 7209,-4.2 ,33322,34797,-4.2
कुल TOTAL,37624 ,37319,0.8 178296 186023 -4.2,179495 178866,0.4,879883 885185,-0.6,217119 216185,0.4 1058179,1071208,-1.2
,,यात्री  (संख्या म ) PASSENGERS (IN NUMBER),,,,,,,,
EASTERN,251753 ,231600,8.7 ,1295391 ,1170980 ,10.6,2973561 ,2811239,5.8,15355668, 14795085,3.8,3225314 ,3042839,6.0 ,16651059,15966065,4.3
WESTERN,1315047 ,1385297,-5.1, 6453183 ,6940315 ,-7.0,6024389, 5821326,3.5,29052534, 29203133,-0.5,7339436, 7206623,1.8 ,35505717,36143448,-1.8
SOUTHERN,2447409 ,2317011,5.6 ,12224507 ,11633164, 5.1,6928762, 6674122,3.8,34643597, 33904274,2.2,9376171, 8991133,4.3, 46868104,45537438,2.9
NORTHERN,1699476 ,1723373,-1.4 ,8305432 ,8563257 ,-3.0,6340895, 6287047,0.9,30796416, 31561159,-2.4,8040371, 8010420,0.4 ,39101848,40124416,-2.5
NORTH EAST,4945, 2953,67.5 ,17768, 14508 ,22.5,796007, 750771,6,4122361, 3978738,3.6,800952 ,753724,6.3 ,4140129,3993246,3.7
कुल TOTAL,5718630 5660234,1.0 28296281 28322224 -0.1,23063614 22344505,3.2,113970576 113442389,0.5,28782244 28004739,2.8 142266857,141764613,0.4
,,माल (मैहरक रन म ) FREIGHT (IN TONNES),,,,,,,,
EASTERN,4797 ,5385,-10.9 ,25482 ,24903 ,2.3,13351, 12775,4.5,56029 ,61930,-9.5,18148, 18160,-0.1 ,81511,86833,-6.1
WESTERN,51927, 61761,-15.9 ,269582 ,308502 ,-12.6,36114 ,35303,2.3,169740, 176730,-4,88041 ,97064,-9.3 ,439322,485232,-9.5
SOUTHERN,62314,66060,-5.7, 311204 ,321430 ,-3.2,29570 ,29449,0.4,139677, 145704,-4.1,91884 ,95509,-3.8 ,450881,467134,-3.5
NORTHERN,52328 ,56650,-7.6 ,262270 ,278617 ,-5.9,35928 ,33895,6,175262 ,161463,8.5,88256, 90545,-2.5 ,437532,440080,-0.6
NORTH EAST,0 ,17,-100.0 ,0 ,18, -100.0,2203 ,3421,-35.6,14495, 14791,-2,2203 ,3438,-35.9 ,14495,14809,-2.1
कुल TOTAL,171366 189873,-9.7 868538 933470 -7.0,117166 114843,2,555203 560618,-1,288532 304716,-5.3 1423741,1494088,-4.7
,,अंिराष्ट्ीय INTERNATIONAL,,,,घरेलू  DOMESTIC,,कुल TOTAL,,


