REGIONS,हििंबर SEPTEMBER, April to September ,हििंबर SEPTEMBER, April to September,,हििंबर SEPTEMBER,,April to September,
,,Change  Change,,Change,Change,,Change,,Change
,2019 2018,2019-20 2018-19,2019 2018,2019-20 2018-19,,2019 2018,2019-20,2018-19,
,,वायुयान प्रचालन (िंख्या म ) AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,
EASTERN,2199, 2045,7.5, 12834, 12057, 6.4,22791, 21883,4.1, 135879, 131083,3.7,24990, 23928,4.4,148713,143140, 3.9
WESTERN,8628 ,8995,-4.1, 47881, 54277, -11.8,44899, 44553,0.8, 266232, 262322,1.5,53527, 53548,0,314113, 316599,-0.8
SOUTHERN,15303 ,14845,3.1, 92664 ,90587 ,2.3,55451 ,58844,-5.8 ,339322 ,346798,-2.2,70754 ,73689,-4,431986 ,437385,-1.2
NORTHERN,10967 ,11000,-0.3 ,61452 ,65757 ,-6.5,46513 ,46744,-0.5 ,275344, 282439,-2.5,57480 ,57744,-0.5,336796, 348196,-3.3
NORTH EAST,104,72 ,44.4 ,666 ,302, 120.5,6369 ,6916,-7.9, 39129,41483, -5.7,6473,6988 ,-7.4,39795,41785 ,-4.8
कुल TOTAL,"37,201 36,957","0.7 2,15,497 2,22,980 -3.4","1,76,023 1,78,940","-1.6 10,55,906 10,64,125",-0.8,"2,13,224 2,15,897",-1.2,12,71403 ,1287105,-1.2
,,यात्री  (िंख्या म ) PASSENGERS (IN NUMBER),,,,,,,
EASTERN,254623, 240416,5.9 ,1550014 ,1411396 ,9.8,2920155 ,2815723,3.7 ,18275823 ,17610808,3.8,3174778 ,3056139,3.9 ,19825837,19022204,4.2
WESTERN,1251359 ,1402121,-10.8 ,7704542 ,8342436 ,-7.6,5786259 ,5777694,0.1 ,34838793 ,34980827,-0.4,7037618, 7179815,-2.0 ,42543335,43323263,-1.8
SOUTHERN,2258354 ,2106534,7.2 ,14482861 ,13739698 ,5.4,6555218, 6706703,-2.3 ,41198815 ,40610977,1.4,8813572 ,8813237,0.0 ,55681676,54350675,2.4
NORTHERN,1672992 ,1677044,-0.2 ,9978424 ,10240301 ,-2.6,6307638 ,6220315,1.4 ,37104054 ,37781474,-1.8,7980630, 7897359,1.1, 47082478,48021775,-2
NORTH EAST,2935 ,2968,-1.1 ,20703 ,17476 ,18.5,744734 ,741264,0.5 ,4867095 ,4720002,3.1,747669 ,744232,0.5,4887798 ,4737478,3.2
कुल TOTAL,"54,40,263 54,29,083","0.2 3,37,36,544 3,37,51,307 0.0","2,23,14,004 2,22,61,699","0.2 13,62,84,580 13,57,04,088",0.4,"2,77,54,267 2,76,90,782","0.2 17,00,21,124","16,94,55,395",0.3
,,माल (मैहरक रन म ) FREIGHT (IN TONNES),,,,,,,
EASTERN,4988, 5783,-13.7 ,30470, 30686 ,-0.7,17210, 12010,43.3, 73239,73940, -0.9,22198 ,17793,24.8,103709, 104626,-0.9
WESTERN,50523 ,57419,-12.0 ,320105 ,365921, -12.5,35177 ,35331,-0.4 ,204917 ,212061,-3.4,85700, 92750,-7.6,525022, 577982,-9.2
SOUTHERN,58475, 64730,-9.7, 369679, 386160, -4.3,28795, 28812,-0.1, 168472, 174516,-3.5,87270 ,93542,-6.7,538151 ,560676,-4
NORTHERN,52478 ,59279,-11.5, 314748 ,337896 ,-6.9,34390 ,34813,-1.2 ,209652, 196276,6.8,86868 ,94092,-7.7,524400, 534172,-1.8
NORTH EAST,1,0 ,- 1 ,18 ,-94.4,2207 ,3479,-36.6 ,16702,18270 ,-8.6,2208,3479 ,-36.5,16703,18288 ,-8.7
कुल TOTAL,"1,66,465 1,87,211","-11.1 10,35,003 11,20,681 -7.6","1,17,779 1,14,445","2.9 6,72,982 6,75,063",-0.3,"2,84,244 3,01,656",-5.8,"17,07,985 17,95,744",-4.9
,अंिराष्ट्ीय INTERNATIONAL,,,घरेलू  DOMESTIC,,कुल TOTAL,,,

