REGIONS,अकू्टबर OCTOBER, April to October ,अकू्टबर OCTOBER,,April to October,,अकू्टबर OCTOBER,,April to October,
,,Change  Change,,Change,,Change,,Change,,Change
,2019 2018,2019-20 2018-19,2019 2018,2019-20,2018-19,,2019 2018,2019-20,2018-19,
,,वायुयान प्रचालन (संख्या म ) AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,
EASTERN,2450, 2147,14.1, 15284 ,14204 ,7.6,25832,23276 ,11.0 ,161711,154359 ,4.8,28282,25423 ,11.2,176995,168563, 5.0
WESTERN,8882, 9082,-2.2 ,56763 ,63359, -10.4,48964,46295, 5.8, 315196,308617, 2.1,57846,55377, 4.5,371959,371976, 0.0
SOUTHERN,15610, 15147,3.1, 108274, 105734, 2.4,59964,62817, -4.5, 399286,409615, -2.5,75574,77964, -3.1,507560,515349, -1.5
NORTHERN,11656, 11079,5.2, 73108, 76836, -4.9,50225,49083, 2.3, 325627,331522, -1.8,61881,60162, 2.9,398735,408358, -2.4
NORTH EAST,74,79, -6.3, 740, 381, 94.2,7265,7371, -1.4,46394,48854, -5.0,7339,7450, -1.5,47134,49235, -4.3
कुल TOTAL,38,672 37,534,3.0 2,54,169 2,60,514 -2.4,1,92,250 1,88,842,1.8 12,48,214,12,52,967,-0.4,2,30,922 2,26,376,2.0 15,02,383,15,13,481,-0.7
,,यात्री  (संख्या म ) PASSENGERS (IN NUMBER),,,,,,,,
EASTERN,287347, 255569,12.4, 1837361, 1666965, 10.2, 3333773, 3157734,5.6, 21609596,20768542,4,3621120, 3413303,6.1, 23446957,22435507,4.5
WESTERN,1314987, 1363043,-3.5, 9019529, 9705479, -7.1,6006500, 5842431,2.8, 40845293,40823258,0.1,7321487, 7205474,1.6, 49864822,50528737,-1.3
SOUTHERN,2297129, 2146219,7.0, 16779990, 15885917, 5.6,6956825, 6973809,-0.2, 48155640,47584786,1.2,9253954, 9120028,1.5, 64935630,63470703,2.3
NORTHERN,1798669, 1731770,3.9, 11777093, 11972071, -1.6, 6708475, 6438372,4.2, 43819648,44219846,-0.9,8507144, 8170142, 4.1, 55596741, 56191917,-1.1
NORTH EAST,4067, 3643, 11.6, 24770, 21119, 17.3,872103, 844814,3.2, 5739198, 5564816,3.1,876170, 848457,3.3, 5763968,5585935,3.2
कुल TOTAL,57,02,199 55,00,244,3.7 3,94,38,743 3,92,51,551 0.5,2,38,77,676 2,32,57,160,2.7 16,01,69,375,15,89,61,248,0.8,2,95,79,875 2,87,57,404,2.9 19,96,08,118,19,82,12,799,0.7
,,माल (मैर्ट्क ट्न म ) FREIGHT (IN TONNES),,,,,,,,
EASTERN,4603, 5502,-16.3, 35073, 36188, -3.1,17303,10768, 60.7,90542,84708, 6.9,21906,16270, 34.6,125615,120896, 3.9
WESTERN,53540, 62042,-13.7, 374152, 427963, -12.6,38481,38404, 0.2, 243398,250465, -2.8,92021, 100446,-8.4,617550,678428, -9.0
SOUTHERN,59784, 64929,-7.9, 429463, 451089, -4.8,32053,31364 ,2.2, 200525,205880 ,-2.6,91837,96293, -4.6,629988,656969, -4.1
NORTHERN,51686, 60158,-14.1, 366434, 398054 ,-7.9,39619,44238, -10.4 ,249271,240514 ,3.6,91305 ,104396,-12.5,615705,638568 ,-3.6
NORTH EAST,0,0 ,-1 ,18, -94.4,3327,3717, -10.5,21752,21987, -1.1,3327,3717, -10.5,21753,22005, -1.1
कुल TOTAL,1,69,613 1,92,631,-11.9 12,05,123 13,13,312 -8.2,1,30,783 1,28,491,1.8 8,05,488,,8,03,554 0.2,3,00,396 3,21,122,-6.5 20,10,611,21,16,866,-5
,अंतराष्ट्ीय INTERNATIONAL,,,घरेलू  DOMESTIC,,,कुल TOTAL,,,
,अपै्रल से अकू्टबर,,,,,,,,,

