REGIONS,नवम्बर November, April to November ,नवम्बर November,,April to November,,,नवम्बर November, April to November,,
,,Change  Change,,Change,,,Change,,Change,,Change
,2019 2018,2019-20 2018-19,2019 2018,,2019-20 2018-19,,,2019 2018,2019-20,2018-19,
,,वायुयान प्रचालन (संख्या म ) AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,
EASTERN,2617, 2230,17.4, 17901, 16434, 8.9, 25189, 22983,9.6,186900,177342,5.4, 27806 , 25213,10.3, 204801,193776,5.7
WESTERN,9025, 9454,-4.5, 65788, 72813, -9.6, 47329, 45783,3.4,362525,354400,2.3,56354, 55237,2.0, 428313, 427213,0.3
SOUTHERN,15466, 15169,2.0, 123740, 120903, 2.3, 59741, 60061,-0.5,459027,469676,-2.3,75207, 75230,0.0, 582767,590579,-1.3
NORTHERN,11524, 11091,3.9, 84632, 87927, -3.7,49525, 45451,9,375152,376973,-0.5,61049, 56542,8.0 ,459784,464900,-1.1
NORTH EAST,77, 69,11.6, 817, 450, 81.6,7437, 7518,-1.1,53831,56372,-4.5,7514, 7587,-1.0 ,54648,56822,-3.8
कुल TOTAL,38,709 38,013,1.8 2,92,878 2,98,527 -1.9,1,89,221 1,81,796,4.1,14,37,435,14,34,763,0.2,2,27,930 2,19,809,3.7 17,30,313,17,33,290,-0.2
,,यात्री  (संख्या म ) PASSENGERS (IN NUMBER),,,,,,,,,
EASTERN,313912, 264939,18.5, 2151273, 1931904, 11.4, 3434707, 3047730,12.7, 25044303, 23816272,5.2, 3748619, 3312669,13.2, 27195576, 25748176,5.6
WESTERN,1506585, 1584481,-4.9, 10526114, 11289960, -6.8,6412453, 6009577,6.7,47257746, 46832835,0.9,7919038, 7594058,4.3, 57783860,58122795,-0.6
SOUTHERN,2316928, 2182374,6.2, 19096918, 18068291, 5.7,7310482 ,6735821,8.5,55466122, 54320607,2.1,9627410, 8918195,8.0, 74563040,72388898,3
NORTHERN,1920573, 1791668,7.2, 13697666, 13763739, -0.5,7109050, 6147440,15.6,50928698, 50367286,1.1,9029623, 7939108,13.7, 64626364,64131025,0.8
NORTH EAST,2850 ,3132,-9.0 ,27620 ,24251, 13.9,888081, 819941,8.3,6627279,6384757,3.8,890931, 823073,8.2 ,6654899,6409008,3.8
कुल TOTAL,60,60,848 58,26,594,4.0 4,54,99,591 4,50,78,145 0.9,2,51,54,773 2,27,60,509,10.5,18,53,24,148 18,17,21,757,,2,3,12,15,621 2,85,87,103,9.2 23,08,23,739,22,67,99,902,1.8
,,माल (मैहरक रन म ) FREIGHT (IN TONNES),,,,,,,,,
EASTERN,5379, 5256,2.3, 40452 ,41444 ,-2.4,12213 ,11190,9.1,102755,95898,7.2,17592 ,16446,7.0, 143207,137342,4.3
WESTERN,53453, 61793,-13.5 ,427605 ,489756 ,-12.7,35448, 35296,0.4,278846,285761,-2.4,88901, 97089,-8.4 ,706451,775517,-8.9
SOUTHERN,57483 ,57934,-0.8 ,486550, 509023, -4.4,27839, 25875,7.6,228553,231755,-1.4,85322 ,83809,1.8 ,715103,740778,-3.5
NORTHERN,51266 ,52340,-2.1 ,417700 ,450394, -7.3,33549, 37442,-10.4,282820,277956,1.7,84815, 89782,-5.5 ,700520,728350,-3.8
NORTH EAST,2, 1,100.0 ,3 ,19 ,-84.2,2945 ,3207,-8.2,24697,25194,-2,2947 ,3208,-8.1, 24700,25213,-2
कुल TOTAL,1,67,583 1,77,324,-5.5 13,72,310 14,90,636 -7.9,1,11,994 1,13,010,-0.9,9,17,671,9,16,564,0.1,2,79,577 2,90,334,-3.7 22,89,981,24,07,200,-4.9
,,अंिराष्ट्ीय INTERNATIONAL,,,,घरेलू  DOMESTIC,,,कुल TOTAL,,
,,अपै्रल से नवम्बर,,,,,,,,,
