REGIONS,हिसंबर  December,,अपै्रल से हिसंबर April to December %पररवतिि,हिसंबर  December,,अपै्रल से हिसंबर April to December,,%पररवतिि,हिसंबर  December,,अपै्रल से हिसंबरApril to December,,,,,,,
,,,Change  Change,,,Change,,Change,,,Change,,Change,,,,,
,2019,2018,2019-20 2018-19,2019,2018,2019-20 2018-19,,,2019,2018,2019-20 2018-19,,,,,,,
,,,वाययान  प्रचालन  (संख्या म ) AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,,,,,,,
EASTERN,2586,2466,4.9,20487,18900,8.4,25606,23234,10.2,212506,200576,5.9,28192,25700,9.7,232993,219476,6.2
WESTERN,9408,10234,-8.1,75196,83047,-9.5,49203,47084,4.5,411728,401484,2.6,58611,57318,2.3,486924,484531,0.5
SOUTHERN,16223,15902,2,139963,136805,2.3,62521,62412,0.2,521548,532088,-2,78744,78314,0.5,661511,668893,-1.1
NORTHERN,12064,11819,2.1,96696,99746,-3.1,49317,48047,2.6,424469,425020,-0.1,61381,59866,2.5,521165,524766,-0.7
NORTH EAST,69,39,76.9,886,489,81.2,7552,7953,-5,61383,64325,-4.6,7621,7992, -4.6 62269,64814,-3.9,
कुल TOTAL,40350,40460,-0.3 333228 338987 -1.7,194199,188730,2.9 1631634,1623493,0.5,234549,229190,2.3 1964862,1962480,0.1,,,,,
,,,यात्री  (संख्या म ) PASSENGERS (IN NUMBER),,,,,,,,,,,,,,,
EASTERN,337138,297611,13.3,2488411,2229515,11.6,3404748,3226235,5.5,28449051,27042507,5.2,3741886,3523846,6.2,30937462,29272022,5.7
WESTERN,1614426,1714935,-5.9,12140540,13004895,-6.6,6548203,6449453,1.5,53805949,53282288,1,8162629,8164388,0,65946489,66287183,-0.5
SOUTHERN,2591497,2469185,5,21688415,20537476,5.6,7606406,7562892,0.6,63072528,61883499,1.9,10197903,10032077,1.7,84760943,82420975,2.8
NORTHERN,2018241,1951295,3.4,15715907,15715034,0,6879426,6659233,3.3,57808124,57026519,1.4,8897667,8610528,3.3,73524031,72741553,1.1
NORTH EAST,3369,2108,59.8,30989,26359,17.6,850006,929768,-8.6,7477285,7314525,2.2,853375,931876,-8.4,7508274,7340884,2.3
कुल TOTAL,6564671,6435134,2,52064262,51513279,1.1,25288789,24827581,1.9,210612937,206549338,2,31853460,31262715,1.9,262677199,258062617,1.8
,,,माल (मैहिक टन म ) FREIGHT (IN TONNES),,,,,,,,,,,,,,,
EASTERN,4842,5008,-3.3,45294,46452,-2.5,11020,10895,1.1,113775,106793,6.5,15862,15903,-0.3,159069,153245,3.8
WESTERN,56507,60270,-6.2,484112,550026,-12,35662,36610,-2.6,314508,322371,-2.4,92169,96880,-4.9,798620,872397,-8.5
SOUTHERN,58287,60303,-3.3,544837,569326,-4.3,27420,26298,4.3,255973,258053,-0.8,85707,86601,-1,800810,827379,-3.2
NORTHERN,52807,53832,-1.9,470507,504226,-6.7,33556,38322,-12.4,316376,316278,0,86363,92154,-6.3,786883,820504,-4.1
NORTH EAST,0,1,-3,-23,20,-85,2630,3477,-24.4,27327,28671,-4.7,2630,3478,-24.4,27330,28691,-4.7
कुल TOTAL,172443,179414,-3.9 1544753 1670050 -7.5,110288,115602,-4.6 1027959,1032166,-0.4,282731,295016,-4.2 2572712,2702216,-4.8,,,,,
,,अिंराष्ट्रीय  INTERNATIONAL,,,,घरेलू  DOMESTIC,,,कुल TOTAL,,,,,,,,,
,,अपै्रल से हिसंबर,,,,,,,,,,,,,,,,
