REGIONS,जनवरी January,%पररवहिि April to January %पररवहिि,जनवरी January,%पररवहिि,April to January,,%पररवहिि,जनवरी January,%पररवहिि April to January,,%पररवहिि
,,Change  Change,,Change,,,Change,,Change,,Change
,2020 2019,2019-20 2018-19,2020 2019,,2019-20,2018-19,,2020 2019,2019-20,2018-19,
,,वायुयान प्रचालन (संख्या म ) AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,
EASTERN,2561 ,2435,5.2, 23048 ,21335 ,8.0,25130 ,23853,5.4,237636,224429,5.9,27691 ,26288,5.3, 260684,245764,6.1
WESTERN,9351 ,10204,-8.4 ,84547 ,93251 ,-9.3,49897 ,48129,3.7,461625,449613,2.7,59248, 58333,1.6, 546172,542864,0.6
SOUTHERN,16162 ,15780,2.4 ,156125, 152585, 2.3,63204, 62475,1.2,584752,594563,-1.7,79366, 78255,1.4 ,740877,747148,-0.8
NORTHERN,11940 ,11811,1.1 ,108636 ,111557, -2.6,49417 ,46763,5.7,473886,471783,0.4,61357 ,58574,4.8 ,582522,583340,-0.1
NORTH EAST,54 ,63,-14.3 ,940, 552 ,70.3,7565,8009 ,-5.5,68948,72334,-4.7,7619, 8072,-5.6 ,69888,72886,-4.1
कुल TOTAL,40,068 40,293,-0.6 3,73,296 3,79,280 -1.6,1,95,213 1,89,229,3.2,18,26,847,18,12,722,0.8,2,35,281 2,29,522,2.5 22,00,143,21,92,002,0.4
,,यात्री  (संख्या म ) PASSENGERS (IN NUMBER),,,,,,,,,
EASTERN,317584, 283215,12.1 ,2805995, 2512730, 11.7,3324274 ,3198149,3.9,31773325,30240656,5.1,3641858 ,3481364,4.6 ,34579320,32753386,5.6
WESTERN,1601366, 1723410,-7.1 ,13741906, 14728305 ,-6.7,6511769, 6442666,1.1,60317718,59724954,1,8113135, 8166076,-0.6 ,74059624,74453259,-0.5
SOUTHERN,2590376, 2485795,4.2, 24278791, 23023271, 5.5,7447920, 7444468,0,70520448,69327967,1.7,10038296, 9930263,1.1 ,94799239,92351238,2.7
NORTHERN,1975229, 1978342,-0.2, 17691136 ,17693376 ,0.0,6674945, 6451857,3.5,64483069,63478376,1.6,8650174 ,8430199,2.6, 82174205,81171752,1.2
NORTH EAST,2712 ,1441,88.2, 33701, 27800 ,21.2,870180, 914438,-4.8,8347465,8228963,1.4,872892 ,915879,-4.7 ,8381166,8256763,1.5
कुल TOTAL,64,87,267 64,72,203,0.2 5,85,51,529 5,79,85,482 1.0,2,48,29,088 2,44,51,578,1.5,23,54,42,025,23,10,00,916,1.9,3,13,16,355 3,09,23,781,1.3 29,39,93,554,28,89,86,398,1.7
,,माल (मैहरक रन म ) FREIGHT (IN TONNES),,,,,,,,,
EASTERN,4295 ,4673,-8.1, 49589, 51125 ,-3.0,11392 ,10466,8.8,125167,117259,6.7,15687, 15139,3.6 ,174756,168384,3.8
WESTERN,52936, 55151,-4.0, 537048 ,605177 ,-11.3,35836 ,33914,5.7,350344,356285,-1.7,88772, 89065,-0.3 ,887392,961462,-7.7
SOUTHERN,55385 ,57630,-3.9 ,600222 ,626956 ,-4.3,27391 ,24749,10.7,283364,282802,0.2,82776, 82379,0.5, 883586,909758,-2.9
NORTHERN,50915, 50873,0.1, 521422, 555099, -6.1,33678, 38925,-13.5,350054,355203,-1.4,84593, 89798,-5.8 ,871476,910302,-4.3
NORTH EAST,0 ,7,-, 3 ,27 ,-88.9,3827,3142 ,21.8,31154,31813,-2.1,3827, 3149,21.5, 31157,31840,-2.1
कुल TOTAL,1,63,531 1,68,334,-2.9 17,08,284 18,38,384 -7.1,1,12,124 1,11,196,0.8,11,40,083,11,43,362,-0.3,2,75,655 2,79,530,-1.4 28,48,367,29,81,746,-4.5
