APRIL,%पररवट्िि,,,,,,,,
Change,,,,,,,,,
,2020,2019,,,,2020,2019,,
वायुयान प्रचालन (संख्या म ) AIRCRAFT MOVEMENTS(IN NUMBERS),,,,,,,,,
EASTERN,165,2062,-92,267,22218,-98.8,432,24280,-98.2
WESTERN,777,7541,-89.7,1135,39786,-97.1,1912,47327,-96
SOUTHERN,914,15180,-94,751,55318,-98.6,1665,70498,-97.6
NORTHERN,742,9486,-92.2,484,43172,-98.9,1226,52658,-97.7
NORTH EAST,1,56,-98.2,287,6342,-95.5,288,6398,-95.5
TOTAL,2599,34325,-92.4,2924,166836,-98.2,5523,201161,-97.3
(संख्या म ) PASSENGERS (IN NUMBER),,,,,,,,,
EASTERN,1183,259718,-99.5,331,2931437,-,1514,3191155,-
WESTERN,15851,1272411,-98.8,3794,5230741,-99.9,19645,6503152,-99.7
SOUTHERN,9607,2417202,-99.6,1925,6623173,-,11532,9040375,-99.9
NORTHERN,24636,1595689,-98.5,2333,5584163,-,26969,7179852,-99.6
NORTH EAST,0,2258,-,2491,782765,-99.7,2491,785023,-99.7
TOTAL,51277,5547278,-99.1,10874,21152279,-99.9,62151,26699557,-99.8
माल (मैट्रक रन म ) FREIGHT (IN TONNES),,,,,,,,,
EASTERN,280,5153,-94.6,853,9920,-91.4,1133,15073,-92.5
WESTERN,14828,53174,-72.1,2203,31755,-93.1,17031,84929,-79.9
SOUTHERN,17012,62303,-72.7,1832,25356,-92.8,18844,87659,-78.5
NORTHERN,7822,53015,-85.2,2147,31894,-93.3,9969,84909,-88.3
NORTH EAST,18,0,-,245,2913,-91.6,263,2913,-91
TOTAL,39960,173645,-77,7280,101838,-92.9,47240,275483,-82.9
