,0
0,9800.0
1,9780.0
2,10026.0
3,14088.0
4,10977.0
5,10053.0
6,10794.0
7,10567.0
8,62667.0
9,11396.0
10,8889.0
11,10388.0
12,10422.0
13,10138.0
14,11356.0
15,15527.0
16,12405.0
17,11365.0
18,11083.0
19,12789.0
20,71271.0
21,11104.0
22,93312.0
23,11312.0
24,10563.0
25,10178.0
26,11332.0
27,15681.0
28,13060.0
29,12227.0
30,12738.0
31,12775.0
32,12010.0
33,10768.0
34,11190.0
35,10895.0
36,10466.0
37,9956.0
38,10773.0
39,15073.0
40,10755.0
41,9173.0
42,12830.0
43,13351.0
44,17210.0
45,17303.0
46,12213.0
47,20752.514476221957
48,18063.25199124289
49,21536.210977004564
50,20910.822482861997
51,20140.551185849723
52,19963.131297471653
53,19199.03395826397
54,18819.471281376376
