,0
0,2257.0
1,2147.0
2,2231.0
3,2277.0
4,2368.0
5,2040.0
6,2936.0
7,2924.0
8,16476.0
9,3213.0
10,3115.0
11,3058.0
12,2671.0
13,2377.0
14,2599.0
15,3444.0
16,2764.0
17,2466.0
18,2358.0
19,3451.0
20,17829.0
21,2950.0
22,23853.0
23,2942.0
24,2483.0
25,2383.0
26,2860.0
27,2995.0
28,2788.0
29,2646.0
30,2941.0
31,3421.0
32,3479.0
33,3717.0
34,3207.0
35,3477.0
36,3142.0
37,10.1
38,3217.0
39,2913.0
40,3229.0
41,2919.0
42,2941.0
43,2203.0
44,3479.0
45,3717.0
46,2945.0
47,4578.256263543691
48,3974.546388371881
49,4498.6642286584765
50,4391.055836726575
51,4214.804174867814
52,4158.021263967648
53,4047.577000864976
54,3930.8966168857532
