,0
0,27026.0
1,26027.0
2,26831.0
3,68696.0
4,26765.0
5,26774.0
6,28188.0
7,27475.0
8,161969.0
9,32807.0
10,25742.0
11,28518.0
12,26752.0
13,25909.0
14,28720.0
15,82034.0
16,29021.0
17,28051.0
18,28647.0
19,29274.0
20,172784.0
21,30332.0
22,232177.0
23,30334.0
24,28036.0
25,27236.0
26,29550.0
27,83787.0
28,33215.0
29,32448.0
30,33109.0
31,33895.0
32,34813.0
33,44238.0
34,37442.0
35,38322.0
36,38925.0
37,36552.0
38,37972.0
39,84909.0
40,36263.0
41,34734.0
42,36239.0
43,35928.0
44,34390.0
45,39619.0
46,33549.0
47,47817.16029218267
48,45169.609636116336
49,48271.06360017993
50,47021.30975882084
51,44288.35130326805
52,46722.19519443479
53,44454.0599023631
54,46814.08805005065
