,0
0,21860.0
1,22266.0
2,23668.0
3,73692.0
4,23859.0
5,23943.0
6,26175.0
7,25649.0
8,147202.0
9,29804.0
10,22584.0
11,24350.0
12,23200.0
13,22938.0
14,25444.0
15,82628.0
16,26144.0
17,26461.0
18,27284.0
19,26890.0
20,159514.0
21,27297.0
22,212987.0
23,26960.0
24,24287.0
25,25042.0
26,29338.0
27,88444.0
28,29093.0
29,29273.0
30,31093.0
31,29449.0
32,28812.0
33,31364.0
34,25875.0
35,25978.0
36,24389.0
37,23500.0
38,27150.0
39,87659.0
40,28672.0
41,27332.0
42,28747.0
43,29570.0
44,28795.0
45,32053.0
46,27839.0
47,40001.03114593809
48,38706.087026807334
49,41316.38671509609
50,40262.70482132846
51,38095.95024495834
52,40616.75231078837
53,38886.456490887664
54,41300.95516981582
