,0
0,23901.0
1,24759.0
2,27211.0
3,69866.0
4,26937.0
5,26877.0
6,28952.0
7,27486.0
8,163483.0
9,30417.0
10,25855.0
11,28068.0
12,30062.0
13,29569.0
14,31022.0
15,84302.0
16,31332.0
17,30870.0
18,31194.0
19,30374.0
20,187075.0
21,32061.0
22,251003.0
23,31870.0
24,30370.0
25,30092.0
26,33780.0
27,93428.0
28,35897.0
29,36954.0
30,37139.0
31,35303.0
32,35331.0
33,38404.0
34,35296.0
35,36610.0
36,33914.0
37,31037.0
38,34111.0
39,84601.0
40,33121.0
41,33183.0
42,35895.0
43,36114.0
44,35177.0
45,38481.0
46,35448.0
47,46692.71174496214
48,45273.22723163587
49,48048.75070851989
50,46886.7307428162
51,45247.287008313026
52,47089.142219298716
53,45714.5891589815
54,47615.3519284652
