,0
0,3551.0
1,3616.0
2,4376.0
3,4096.0
4,4518.0
5,4441.0
6,4570.0
7,5194.0
8,4991.0
9,4503.0
10,5275.0
11,4509.0
12,4644.0
13,4429.0
14,5984.0
15,4891.0
16,6027.0
17,5061.0
18,5075.0
19,5500.0
20,4995.0
21,5120.0
22,5542.0
23,5161.0
24,4727.0
25,4127.0
26,4626.0
27,4551.0
28,4800.0
29,4601.0
30,5566.0
31,5385.0
32,5783.0
33,5502.0
34,5256.0
35,5008.0
36,4673.0
37,4621.0
38,5516.0
39,5153.0
40,4969.0
41,5110.0
42,5453.0
43,4797.0
44,4988.0
45,4603.0
46,5379.0
47,4942.552290394507
48,5218.794592321094
49,4993.503221068631
50,5201.612800991279
51,4956.481552076071
52,5193.615900808083
53,4930.639940563749
54,5180.901309131833
