,0
0,41211.0
1,39456.0
2,45229.0
3,44097.0
4,48717.0
5,47530.0
6,45606.0
7,45349.0
8,45806.0
9,48126.0
10,43977.0
11,46085.0
12,46898.0
13,45353.0
14,57622.0
15,55653.0
16,58494.0
17,55367.0
18,51796.0
19,55899.0
20,57069.0
21,56523.0
22,55200.0
23,55733.0
24,52804.0
25,49160.0
26,55552.0
27,54991.0
28,57350.0
29,54576.0
30,55050.0
31,56650.0
32,59279.0
33,60158.0
34,52340.0
35,53832.0
36,50873.0
37,47298.0
38,56437.0
39,53015.0
40,54035.0
41,48734.0
42,54158.0
43,52328.0
44,52478.0
45,51686.0
46,51266.0
47,52569.13421522964
48,51142.93037938742
49,52205.284034104705
50,51262.62380871338
51,51468.54493245036
52,51425.74113276121
53,51052.97252023363
54,51422.334990891926
