,0
0,45160.0
1,47792.0
2,57045.0
3,51760.0
4,53486.0
5,55365.0
6,56571.0
7,55072.0
8,53540.0
9,56194.0
10,52965.0
11,51936.0
12,49886.0
13,50937.0
14,65216.0
15,58512.0
16,61435.0
17,62082.0
18,63670.0
19,65233.0
20,60380.0
21,59793.0
22,59527.0
23,58884.0
24,56303.0
25,58433.0
26,68243.0
27,61648.0
28,65246.0
29,62359.0
30,66117.0
31,66060.0
32,64730.0
33,64929.0
34,57934.0
35,60263.0
36,57593.0
37,58653.0
38,69018.0
39,62303.0
40,62952.0
41,60347.0
42,63288.0
43,62314.0
44,58475.0
45,59784.0
46,57483.0
47,59519.36683007784
48,59221.09624766802
49,58681.90082776672
50,59502.65753946231
51,59030.687000834885
52,59909.32940302157
53,59819.101854394816
54,59898.90044803752
