,0
0,12388.0
1,11752.0
2,12817.0
3,13896.0
4,12883.0
5,12701.0
6,12989.0
7,13085.0
8,76823.0
9,15087.0
10,15732.0
11,16195.0
12,17265.0
13,16130.0
14,18196.0
15,19387.0
16,18201.0
17,17374.0
18,17523.0
19,17767.0
20,106599.0
21,20201.0
22,146460.0
23,20794.0
24,21064.0
25,19656.0
26,22229.0
27,23208.0
28,22655.0
29,21692.0
30,21645.0
31,22005.0
32,21883.0
33,23232.0
34,22933.0
35,23234.0
36,23853.0
37,20814.0
38,22736.0
39,24280.0
40,22457.0
41,22286.0
42,22934.0
43,23193.0
44,22791.0
45,25832.0
46,25189.0
47,28905.895645384448
48,28663.311939094434
49,29672.234416551466
50,29502.59197235752
51,29273.83384793409
52,28992.312914105
53,28771.09592620025
54,28350.418253220625
