,0
0,4582.0
1,4609.0
2,4986.0
3,5706.0
4,5987.0
5,5823.0
6,5755.0
7,5956.0
8,35007.0
9,6906.0
10,7161.0
11,7370.0
12,6155.0
13,5696.0
14,6251.0
15,5967.0
16,6226.0
17,6000.0
18,5970.0
19,5798.0
20,35648.0
21,5987.0
22,47416.0
23,5949.0
24,6047.0
25,5668.0
26,6604.0
27,6783.0
28,7100.0
29,6796.0
30,6775.0
31,7147.0
32,6916.0
33,7415.0
34,7568.0
35,7953.0
36,8009.0
37,6393.0
38,6728.0
39,6398.0
40,6499.0
41,6580.0
42,6585.0
43,6754.0
44,6369.0
45,7265.0
46,7437.0
47,9695.450092554715
48,9580.252533549557
49,10117.208130587958
50,9780.880395727687
51,9504.461995975274
52,9201.656654870741
53,8961.73972195957
54,8661.913353384014
