,0
0,31478.0
1,31570.0
2,35114.0
3,44496.0
4,37947.0
5,36982.0
6,37573.0
7,36910.0
8,221352.0
9,38647.0
10,37523.0
11,36582.0
12,36732.0
13,35553.0
14,40809.0
15,50069.0
16,42919.0
17,42145.0
18,43050.0
19,43584.0
20,254853.0
21,45658.0
22,343317.0
23,45645.0
24,45458.0
25,42618.0
26,47596.0
27,57017.0
28,47401.0
29,46545.0
30,47126.0
31,48247.0
32,46744.0
33,49025.0
34,45451.0
35,48047.0
36,46763.0
37,42729.0
38,45953.0
39,52656.0
40,46313.0
41,45697.0
42,46568.0
43,46942.0
44,46513.0
45,50225.0
46,49525.0
47,73071.41324843511
48,71992.82636907282
49,80221.75985981959
50,78057.65481951626
51,76222.22011950744
52,74798.14650517803
53,72693.34673264601
54,70928.41535412602
