,0
0,37689.0
1,35713.0
2,38584.0
3,52467.0
4,42485.0
5,41141.0
6,42445.0
7,42291.0
8,248841.0
9,44651.0
10,44664.0
11,44433.0
12,45139.0
13,40128.0
14,43057.0
15,55346.0
16,45399.0
17,44120.0
18,45395.0
19,44952.0
20,266158.0
21,48838.0
22,361846.0
23,50913.0
24,54117.0
25,49658.0
26,56142.0
27,70193.0
28,59170.0
29,58092.0
30,58120.0
31,57189.0
32,58844.0
33,62817.0
34,60061.0
35,62412.0
36,62475.0
37,53986.0
38,58384.0
39,70498.0
40,58434.0
41,56686.0
42,57080.0
43,56353.0
44,55451.0
45,59964.0
46,59741.0
47,81967.2695792589
48,80693.33044087952
49,87512.45649583866
50,84945.76195489276
51,82855.73965277283
52,81240.49303904657
53,78846.9682653479
54,77134.73202871095
