,0
0,36515.0
1,34449.0
2,36265.0
3,42878.0
4,36764.0
5,35597.0
6,36807.0
7,37316.0
8,217152.0
9,37724.0
10,35558.0
11,38624.0
12,38843.0
13,34635.0
14,37899.0
15,45488.0
16,39601.0
17,38765.0
18,40387.0
19,40518.0
20,235662.0
21,41894.0
22,318268.0
23,43445.0
24,43437.0
25,39273.0
26,42759.0
27,50993.0
28,44678.0
29,43144.0
30,43619.0
31,44278.0
32,44553.0
33,46295.0
34,45783.0
35,47084.0
36,48129.0
37,41284.0
38,41594.0
39,47327.0
40,44238.0
41,45006.0
42,46050.0
43,46253.0
44,44899.0
45,48964.0
46,47329.0
47,70790.1655512708
48,69075.45847335536
49,76560.53294963556
50,74155.01599259282
51,72056.45845220129
52,70245.72752157242
53,67940.10700197509
54,66011.79253067641
