,0
0,1945.0
1,1779.0
2,2009.0
3,1776.0
4,1519.0
5,1424.0
6,1497.0
7,1621.0
8,1544.0
9,1711.0
10,1501.0
11,1888.0
12,1960.0
13,1768.0
14,1942.0
15,1870.0
16,1928.0
17,1919.0
18,1939.0
19,2011.0
20,1959.0
21,2127.0
22,2076.0
23,2288.0
24,2240.0
25,1934.0
26,2158.0
27,2005.0
28,2027.0
29,1952.0
30,2021.0
31,2007.0
32,2045.0
33,2147.0
34,2230.0
35,2466.0
36,2435.0
37,2201.0
38,2333.0
39,2062.0
40,2087.0
41,2106.0
42,2203.0
43,2177.0
44,2199.0
45,2450.0
46,2617.0
47,2606.7575558389185
48,2638.872850337392
49,2637.0194293868212
50,2663.6764914148926
51,2689.067482309921
52,2691.2781274194117
53,2708.319276685143
54,2714.9131010841984
