,0
0,34.0
1,54.0
2,34.0
3,67.0
4,71.0
5,72.0
6,66.0
7,86.0
8,86.0
9,78.0
10,72.0
11,72.0
12,36.0
13,32.0
14,34.0
15,36.0
16,34.0
17,33.0
18,66.0
19,38.0
20,66.0
21,37.0
22,42.0
23,37.0
24,34.0
25,39.0
26,42.0
27,34.0
28,38.0
29,36.0
30,60.0
31,62.0
32,72.0
33,79.0
34,69.0
35,39.0
36,63.0
37,36.0
38,56.0
39,56.0
40,82.0
41,88.0
42,182.0
43,154.0
44,104.0
45,74.0
46,77.0
47,25.2064486641065
48,23.342165352956265
49,35.45918469501513
50,54.55211109314863
51,54.64727543536822
52,79.32713238417927
53,84.03271572983944
54,82.93545998235942
