,0
0,9435.0
1,8733.0
2,9163.0
3,8904.0
4,9265.0
5,9000.0
6,9376.0
7,9584.0
8,9505.0
9,9763.0
10,9710.0
11,10000.0
12,9996.0
13,9146.0
14,10320.0
15,9823.0
16,10162.0
17,9887.0
18,10354.0
19,10491.0
20,10417.0
21,10402.0
22,10472.0
23,11040.0
24,11066.0
25,10054.0
26,11098.0
27,10649.0
28,10958.0
29,10642.0
30,11428.0
31,11081.0
32,11000.0
33,11079.0
34,11091.0
35,11819.0
36,11811.0
37,10496.0
38,10671.0
39,9486.0
40,9731.0
41,9685.0
42,10516.0
43,10923.0
44,10967.0
45,11656.0
46,11524.0
47,11617.094429201163
48,11539.808877584926
49,11526.383423409816
50,11511.96164345127
51,11509.204149375846
52,11509.4772040819
53,11508.87576392277
54,11507.538876002336
