,0
0,13620.0
1,12664.0
2,13478.0
3,13211.0
4,13415.0
5,13256.0
6,13533.0
7,13697.0
8,13509.0
9,14062.0
10,13686.0
11,14505.0
12,14220.0
13,12511.0
14,13915.0
15,14165.0
16,14654.0
17,14345.0
18,14999.0
19,15332.0
20,14924.0
21,15143.0
22,15035.0
23,15877.0
24,15958.0
25,14020.0
26,15378.0
27,14810.0
28,15580.0
29,14956.0
30,15347.0
31,15049.0
32,14845.0
33,15147.0
34,15169.0
35,15896.0
36,15780.0
37,13956.0
38,15488.0
39,15180.0
40,15464.0
41,15174.0
42,15749.0
43,15794.0
44,15303.0
45,15610.0
46,15466.0
47,15576.654007968713
48,15382.631776320008
49,15399.512759287789
50,15467.971320218603
51,15349.974633974885
52,15383.751415938152
53,15308.715821842074
54,15345.665656228211
