,0
0,8362.0
1,7653.0
2,8376.0
3,8222.0
4,8457.0
5,8116.0
6,8356.0
7,8220.0
8,8166.0
9,8689.0
10,8386.0
11,8915.0
12,9051.0
13,8088.0
14,8975.0
15,8553.0
16,8835.0
17,8554.0
18,8745.0
19,8973.0
20,8825.0
21,9070.0
22,9172.0
23,9596.0
24,9602.0
25,8515.0
26,9437.0
27,8943.0
28,9233.0
29,8916.0
30,9070.0
31,9120.0
32,8995.0
33,9082.0
34,9454.0
35,10234.0
36,10204.0
37,8931.0
38,9193.0
39,7541.0
40,7630.0
41,7536.0
42,7970.0
43,8576.0
44,8628.0
45,8882.0
46,9025.0
47,8823.985750931652
48,8708.193701313676
49,8505.387086348484
50,8476.380695737756
51,8453.42505555103
52,8511.489340999977
53,8627.232244495453
54,8689.54941650758
