,0
0,1566589.0
1,1436868.0
2,1606959.0
3,1690246.0
4,1657294.0
5,1560199.0
6,1642861.0
7,1580127.0
8,9599545.0
9,1929857.0
10,1934278.0
11,2174129.0
12,2292266.0
13,2043467.0
14,2220071.0
15,2437658.0
16,2510469.0
17,2306612.0
18,2177203.0
19,2315926.0
20,13906600.0
21,2701130.0
22,19273768.0
23,2857379.0
24,2902487.0
25,2742488.0
26,3044764.0
27,3205400.0
28,3151992.0
29,2979292.0
30,2885222.0
31,2811239.0
32,2815723.0
33,3154963.0
34,3044600.0
35,3226235.0
36,3198149.0
37,2878246.0
38,3096067.0
39,3191155.0
40,3178893.0
41,3234487.0
42,3037290.0
43,2973561.0
44,2920155.0
45,3333773.0
46,3434707.0
47,3100982.9437062326
48,3159161.6597369914
49,2933516.7342539085
50,2977576.9248404754
51,3010727.2446302795
52,3046037.1315806736
53,3097318.962858507
54,3125687.150155202
