,0
0,470331.0
1,454579.0
2,484834.0
3,590283.0
4,638340.0
5,636249.0
6,643309.0
7,594984.0
8,3712335.0
9,717354.0
10,719379.0
11,829706.0
12,672216.0
13,582072.0
14,626699.0
15,650525.0
16,687856.0
17,650424.0
18,690091.0
19,676096.0
20,4022242.0
21,698720.0
22,5405413.0
23,733210.0
24,730455.0
25,667281.0
26,762391.0
27,796373.0
28,803480.0
29,790060.0
30,840245.0
31,750771.0
32,741264.0
33,847585.0
34,823071.0
35,929768.0
36,914438.0
37,757161.0
38,804414.0
39,785023.0
40,833917.0
41,838071.0
42,871601.0
43,796007.0
44,744734.0
45,872103.0
46,888081.0
47,1031494.3409851352
48,1031759.4590835401
49,1050787.5839472194
50,1035366.0163973377
51,1016698.2861287637
52,995073.2656460472
53,978696.887018016
54,957720.9794163977
