,0
0,4176557.0
1,4318215.0
2,4666329.0
3,5978923.0
4,5075001.0
5,4803673.0
6,4945284.0
7,4760501.0
8,28988839.0
9,4954075.0
10,5137632.0
11,5235610.0
12,5227611.0
13,4992514.0
14,5371961.0
15,6825071.0
16,5837736.0
17,5598742.0
18,5521662.0
19,5525610.0
20,33279362.0
21,5965689.0
22,45105383.0
23,6258336.0
24,6215942.0
25,5947589.0
26,6466509.0
27,8021065.0
28,6312817.0
29,6225665.0
30,6389906.0
31,6287994.0
32,6220315.0
33,6434615.0
34,6147440.0
35,6659233.0
36,6451857.0
37,5980631.0
38,6098608.0
39,7179840.0
40,6063611.0
41,6293167.0
42,6484688.0
43,6340895.0
44,6307638.0
45,6708475.0
46,7109050.0
47,7628420.861395821
48,7819523.188279374
49,7960662.666781876
50,7980301.641235162
51,7985945.0901039345
52,7995708.200137145
53,7997628.060515124
54,7996779.220713314
