,0
0,4153983.0
1,4006618.0
2,4182826.0
3,6389721.0
4,4788441.0
5,4338294.0
6,4821682.0
7,4796140.0
8,27763839.0
9,4911612.0
10,5029378.0
11,5275650.0
12,5419801.0
13,4675687.0
14,4746713.0
15,7125845.0
16,5524841.0
17,5263081.0
18,5375218.0
19,5360612.0
20,31869873.0
21,5712968.0
22,43362346.0
23,6330811.0
24,6591930.0
25,6136768.0
26,6578183.0
27,9009640.0
28,7003997.0
29,6576592.0
30,6961520.0
31,6674122.0
32,6706703.0
33,6973809.0
34,6735821.0
35,7562892.0
36,7444468.0
37,6646453.0
38,6790822.0
39,9040375.0
40,7249248.0
41,6948769.0
42,6893645.0
43,6928762.0
44,6555218.0
45,6956825.0
46,7310482.0
47,7381497.103244952
48,7634676.033882314
49,7612571.477471299
50,7706554.388524299
51,7747377.319390042
52,7788656.699754176
53,7841958.367544953
54,7864585.470893882
