,0
0,4659089.0
1,4460459.0
2,4544632.0
3,5735962.0
4,4936890.0
5,4421975.0
6,4766431.0
7,4788252.0
8,28083043.0
9,4635160.0
10,4863674.0
11,5318952.0
12,5344014.0
13,4773055.0
14,4877301.0
15,6135786.0
16,5486031.0
17,5100312.0
18,5099188.0
19,5239710.0
20,30810609.0
21,5474527.0
22,41901801.0
23,5935165.0
24,5970129.0
25,5549652.0
26,5797578.0
27,7182881.0
28,6011080.0
29,5707147.0
30,5859937.0
31,5821326.0
32,5777694.0
33,5842431.0
34,6009577.0
35,6449453.0
36,6442666.0
37,5656525.0
38,5509122.0
39,6503152.0
40,5894479.0
41,5985630.0
42,5917295.0
43,6024389.0
44,5786259.0
45,6006500.0
46,6412453.0
47,7218647.366017748
48,7419746.779364321
49,7697049.619075257
50,7682043.51361399
51,7668720.297396129
52,7646927.488005444
53,7614678.625795368
54,7598084.372323377
