,0
0,220536.0
1,206617.0
2,221519.0
3,198374.0
4,192507.0
5,175702.0
6,173193.0
7,187467.0
8,178026.0
9,206120.0
10,174108.0
11,230366.0
12,238536.0
13,216735.0
14,229824.0
15,207316.0
16,230155.0
17,210943.0
18,214167.0
19,223298.0
20,228544.0
21,241052.0
22,238212.0
23,281810.0
24,263075.0
25,240054.0
26,259169.0
27,238060.0
28,245244.0
29,221908.0
30,234168.0
31,231600.0
32,240416.0
33,255569.0
34,264939.0
35,297611.0
36,283215.0
37,257978.0
38,285671.0
39,259718.0
40,254350.0
41,266129.0
42,263441.0
43,251753.0
44,254623.0
45,287347.0
46,313912.0
47,309025.8849636878
48,313909.4517903544
49,313470.12689229805
50,316732.5123700243
51,321663.7478116855
52,321833.67248678225
53,325286.2134719349
54,326840.28061048227
