,0
0,1895.0
1,2605.0
2,1754.0
3,4076.0
4,4510.0
5,4515.0
6,4394.0
7,8225.0
8,6879.0
9,4356.0
10,3773.0
11,3508.0
12,1851.0
13,1616.0
14,1564.0
15,2105.0
16,2099.0
17,1786.0
18,6564.0
19,1729.0
20,5873.0
21,1761.0
22,1756.0
23,2176.0
24,1537.0
25,1997.0
26,2066.0
27,2191.0
28,2143.0
29,2191.0
30,5030.0
31,2953.0
32,2968.0
33,3643.0
34,3132.0
35,2108.0
36,1441.0
37,1428.0
38,1841.0
39,2258.0
40,2733.0
41,2076.0
42,5756.0
43,4945.0
44,2935.0
45,4067.0
46,2850.0
47,2612.9985602269276
48,1812.3860042668332
49,1894.721585615188
50,1883.0120727868841
51,1819.1587499256166
52,2167.4378875496113
53,2407.913551429004
54,2720.182697337917
