,0
0,1457308.0
1,1333799.0
2,1459777.0
3,1299695.0
4,1313506.0
5,1349762.0
6,1352466.0
7,1407278.0
8,1368893.0
9,1399113.0
10,1510450.0
11,1593027.0
12,1627827.0
13,1499578.0
14,1622130.0
15,1474894.0
16,1503840.0
17,1531138.0
18,1555529.0
19,1559819.0
20,1538079.0
21,1617572.0
22,1689118.0
23,1810011.0
24,1816130.0
25,1670893.0
26,1833054.0
27,1675361.0
28,1663856.0
29,1741354.0
30,1759313.0
31,1723373.0
32,1677044.0
33,1731770.0
34,1791668.0
35,1951295.0
36,1978342.0
37,1761939.0
38,1832194.0
39,1595689.0
40,1628293.0
41,1686901.0
42,1684184.0
43,1699476.0
44,1672992.0
45,1798669.0
46,1920573.0
47,1871195.3510411698
48,1869661.7788778928
49,1816981.4688401595
50,1794964.5679458757
51,1785523.94460552
52,1765461.6814439418
53,1773713.2748543655
54,1758915.6036041223
