,0
0,2091098.0
1,1752923.0
2,1885047.0
3,1994587.0
4,2147467.0
5,1917082.0
6,2081393.0
7,2079642.0
8,1961852.0
9,1899994.0
10,1885809.0
11,2166913.0
12,2202783.0
13,1803201.0
14,1962099.0
15,2136638.0
16,2292335.0
17,2019199.0
18,2230664.0
19,2300844.0
20,2104415.0
21,2045371.0
22,2045580.0
23,2391036.0
24,2422488.0
25,1998697.0
26,2295652.0
27,2321597.0
28,2443190.0
29,2181778.0
30,2369588.0
31,2317011.0
32,2101469.0
33,2146219.0
34,2182374.0
35,2469185.0
36,2485795.0
37,2088688.0
38,2281710.0
39,2417202.0
40,2484950.0
41,2394731.0
42,2480322.0
43,2447409.0
44,2258354.0
45,2297129.0
46,2316928.0
47,2423817.36102032
48,2348821.573595213
49,2328564.039653755
50,2366799.968331474
51,2341078.197985429
52,2328912.5124347145
53,2301604.6995625347
54,2352742.657219348
