,0
0,1369381.0
1,1203175.0
2,1230365.0
3,1202350.0
4,1329440.0
5,1182979.0
6,1241283.0
7,1209291.0
8,1159684.0
9,1173097.0
10,1318656.0
11,1477308.0
12,1504531.0
13,1285202.0
14,1320349.0
15,1276395.0
16,1447532.0
17,1265817.0
18,1303836.0
19,1303410.0
20,1218081.0
21,1363971.0
22,1442983.0
23,1624248.0
24,1620907.0
25,1388368.0
26,1467728.0
27,1379238.0
28,1469086.0
29,1337333.0
30,1369361.0
31,1385297.0
32,1402121.0
33,1363043.0
34,1584481.0
35,1714935.0
36,1723410.0
37,1494820.0
38,1489017.0
39,1272411.0
40,1317393.0
41,1282841.0
42,1265491.0
43,1315047.0
44,1251359.0
45,1314987.0
46,1506585.0
47,1523774.7207520087
48,1536282.6683459627
49,1478545.1006349388
50,1477021.1872422472
51,1476542.7700428297
52,1480024.989719317
53,1472013.7433608407
54,1459628.0544605306
