yearmon,EASTERN,WESTERN,SOUTHERN,NORTHERN,NORTH EAST
201600,3551,40337,45160,41211,2
201601,3616,43736,47792,39456,0
201602,4376,49737,57045,45229,1
201603,4096,44509,51760,44097,0
201604,4518,46230,53486,48717,0
201605,4441,46980,55365,47530,2
201606,4570,43042,56571,45606,0
201607,5194,44519,55072,45349,0
201608,4991,44321,53540,45806,0
201609,4503,50814,56194,48126,0
201610,5275,47255,52965,43977,0
201611,4509,51616,51936,46085,0
201700,4644,49721,49886,46898,0
201701,4429,48064,50937,45353,0
201702,5984,62935,65216,57622,1
201703,4891,55845,58512,55653,0
201704,6027,58532,61435,58494,1
201705,5061,56258,62082,55367,0
201706,5075,52660,63670,51796,0
201707,5500,54722,65233,55899,1
201708,4995,56198,60380,57069,0
201709,5120,56087,59793,56523,0
201710,5542,60388,59527,55200,0
201711,5161,59748,58884,55733,0
201800,4727,58317,56303,52804,0
201801,4127,55960,58433,49160,0
201802,4626,66932,68243,55552,0
201803,4551,61744,61648,54991,0
201804,4800,64163,65246,57350,1
201805,4601,61894,62359,54576,0
201806,5566,58940,66117,55050,0
201807,5385,61761,66060,56650,17
201808,5783,57419,64730,59279,0
201809,5502,62042,64929,60158,0
201810,5256,61793,57934,52340,1
201811,5008,60270,60263,53832,1
201900,4673,55151,57593,50873,7
201901,4621,55968,58653,47298,0
201902,5516,64214,69018,56437,0
201903,5153,53174,62303,53015,0
201904,4969,59415,62952,54035,0
201905,5110,51900,60347,48734,0
201906,5453,53166,63288,54158,0
201907,4797 ,51927,62314,52328 ,0 
201908,4988,50523 ,58475,52478 ,1
201909,4603,53540,59784,51686,0
201910,5379,53453,57483 ,51266 ,2
201911,4842,56507,58287,52807,0
202000,4295 ,52936,55385 ,50915,0 
202001,3942,52947,56829,47815,0
202002,3394,40314,49013,40585,0
202003,280,14828,17012,7822,18
