yearmon,EASTERN,WESTERN,SOUTHERN,NORTHERN,NORTH EAST
201600,12388,36515,37689,31478,4582
201601,11752,34449,35713,31570,4609
201602,12817,36265,38584,35114,4986
201603,12120,34656,39256,35592,5639
201604,12883,36764,42485,37947,5987
201605,12701,35597,41141,36982,5823
201606,12989,36807,42445,37573,5755
201607,13085,37316,42291,36910,5956
201608,12879,36012,41223,36348,5859
201609,15087,37724,44651,38647,6906
201610,15732,35558,44664,37523,7161
201611,16195,38624,44433,36582,7370
201700,17265,38843,45139,36732,6155
201701,16130,34635,40128,35553,5696
201702,18196,37899,43057,40809,6251
201703,17517,36935,41181,40246,5931
201704,18201,39601,45399,42919,6226
201705,17374,38765,44120,42145,6000
201706,17523,40387,45395,43050,5970
201707,17767,40518,44952,43584,5798
201708,18217,39456,45111,42909,5723
201709,20201,41894,48838,45658,5987
201710,19660,40714,46850,42806,5781
201711,20794,43445,50913,45645,5949
201800,21064,43437,54117,45458,6047
201801,19656,39273,49658,42618,5668
201802,22229,42759,56142,47596,6604
201803,21203,42050,55383,46368,6749
201804,22655,44678,59170,47401,7100
201805,21692,43144,58092,46545,6796
201806,21645,43619,58120,47126,6775
201807,22005,44278,57189,48247,7147
201808,21883,44553,58844,46744,6916
201809,23232,46295,62817,49025,7415
201810,22933,45783,60061,45451,7568
201811,23234,47084,62412,48047,7953
201900,23853,48129,62475,46763,8009
201901,20814,41284,53986,42729,6393
201902,22736,41594,58384,45953,6728
201903,22218,39786,55318,43170,6342
201904,22457,44238,58434,46313,6499
201905,22286.0,45006.0,56686.0,45697.0,6580.0
201906,22934,46050,57080,46568,6585
201907,23193 ,46253 ,56353,46942 ,6754 
201908,22791,44899,55451 ,46513 ,6369 
201909,25832,48964,59964,50225,7265
201910, 25189, 47329, 59741,49525,7437
201911,25606.0,49203.0,62521.0,49317.0,7552.0
202000,25130 ,49897 ,63204,49417 ,7565
202001,23649.0,47117.0,59159.0,48870.0,7133.0
202002,19218,34790,44716,37449,5894
202003,432.0,1912.0,1665.0,1226.0,288.0
