,EASTERN,WESTERN,SOUTHERN,NORTHERN,NORTH EAST
201600,1566589,4659089,4153983,4176557,470331
201601,1436868,4460459,4006618,4318215,454579
201602,1606959,4544632,4182826,4666329,484834
201603,1690246.0,5735962.0,6389721.0,5978923.0,590283.0
201604,1657294,4936890,4788441,5075001,638340
201605,1560199,4421975,4338294,4803673,636249
201606,1642861,4766431,4821682,4945284,643309
201607,1580127,4788252,4796140,4760501,594984
201608,9599545,28083043,27763839,28988839,3712335
201609,1929857,4635160,4911612,4954075,717354
201610,1934278,4863674,5029378,5137632,719379
201611,2174129,5318952,5275650,5235610,829706
201700,2292266,5344014,5419801,5227611,672216
201701,2043467,4773055,4675687,4992514,582072
201702,2220071,4877301,4746713,5371961,626699
201703,2437658.0,6135786.0,7125845.0,6825071.0,650525.0
201704,2510469,5486031,5524841,5837736,687856
201705,2306612,5100312,5263081,5598742,650424
201706,2177203,5099188,5375218,5521662,690091
201707,2315926,5239710,5360612,5525610,676096
201708,13906600,30810609,31869873,33279362,4022242
201709,2701130,5474527,5712968,5965689,698720
201710,19273768,41901801,43362346,45105383,5405413
201711,2857379,5935165,6330811,6258336,733210
201800,2902487,5970129,6591930,6215942,730455
201801,2742488,5549652,6136768,5947589,667281
201802,3044764,5797578,6578183,6466509,762391
201803,3205400,7182881,9009640,8021065,796373
201804,3151992,6011080,7003997,6312817,803480
201805,2979292,5707147,6576592,6225665,790060
201806,2885222,5859937,6961520,6389906,840245
201807,2811239,5821326,6674122,6287994,750771
201808,2815723,5777694,6706703,6220315,741264
201809,3154963,5842431,6973809,6434615,847585
201810,3044600,6009577,6735821,6147440,823071
201811,3226235,6449453,7562892,6659233,929768
201900,3198149,6442666,7444468,6451857,914438
201901,2878246,5656525,6646453,5980631,757161
201902,3096067,5509122,6790822,6098608,804414
201903,3191155.0,6503152.0,9040375.0,7179840.0,785023.0
201904,3178893,5894479,7249248,6063611,833917
201905,3234487.0,5985630.0,6948769.0,6293167.0,838071.0
201906,3037290,5917295,6893645,6484688,871601
201907,2973561 ,6024389,6928762,6340895,796007
201908,2920155 ,5786259 ,6555218,6307638 ,744734 
201909, 3333773,6006500,6956825, 6708475,872103
201910, 3434707,6412453,7310482 ,7109050,888081
201911,3404748.0,6548203.0,7606406.0,6879426.0,850006.0
202000,3324274 ,6511769,7447920,6674945,870180
202001,"31,43,240","62,84,773","69,71,301","68,66,749","7,99,478"
202002,2232998,3676866,4106423,4346366,598356
202003,1514.0,19645.0,11532.0,26969.0,2491.0
