,EASTERN,WESTERN,SOUTHERN,NORTHERN,NORTH EAST
201600,220536,1369381,2091098,1457308,1895
201601,206617,1203175,1752923,1333799,2605
201602,221519,1230365,1885047,1459777,1754
201603,198374,1202350,1994587,1299695,4076
201604,192507,1329440,2147467,1313506,4510
201605,175702,1182979,1917082,1349762,4515
201606,173193,1241283,2081393,1352466,4394
201607,187467,1209291,2079642,1407278,8225
201608,178026,1159684,1961852,1368893,6879
201609,206120,1173097,1899994,1399113,4356
201610,174108,1318656,1885809,1510450,3773
201611,230366,1477308,2166913,1593027,3508
201700,238536,1504531,2202783,1627827,1851
201701,216735,1285202,1803201,1499578,1616
201702,229824,1320349,1962099,1622130,1564
201703,207316,1276395,2136638,1474894,2105
201704,230155,1447532,2292335,1503840,2099
201705,210943,1265817,2019199,1531138,1786
201706,214167,1303836,2230664,1555529,6564
201707,223298,1303410,2300844,1559819,1729
201708,228544,1218081,2104415,1538079,5873
201709,241052,1363971,2045371,1617572,1761
201710,238212,1442983,2045580,1689118,1756
201711,281810,1624248,2391036,1810011,2176
201800,263075,1620907,2422488,1816130,1537
201801,240054,1388368,1998697,1670893,1997
201802,259169,1467728,2295652,1833054,2066
201803,238060,1379238,2321597,1675361,2191
201804,245244,1469086,2443190,1663856,2143
201805,221908,1337333,2181778,1741354,2191
201806,234168,1369361,2369588,1759313,5030
201807,231600,1385297,2317011,1723373,2953
201808,240416,1402121,2101469,1677044,2968
201809,255569,1363043,2146219,1731770,3643
201810,264939,1584481,2182374,1791668,3132
201811,297611,1714935,2469185,1951295,2108
201900,283215,1723410,2485795,1978342,1441
201901,257978,1494820,2088688,1761939,1428
201902,285671,1489017,2281710,1832194,1841
201903,259718,1272411,2417202,1595689,2258
201904,254350,1317393,2484950,1628293,2733
201905,266129,1282841,2394731,1686901,2076
201906,263441,1265491,2480322,1684184,5756
201907,251753 ,1315047 ,2447409 ,1699476 ,4945
201908,254623,1251359 ,2258354 ,1672992 ,2935 
201909,287347,1314987,2297129,1798669,4067
201910,313912,1506585,2316928,1920573,2850 
201911,337138,1614426,2591497,2018241,3369
202000,317584,1601366,2590376,1975229,2712 
202001,"2,54,438","13,52,577","20,73,011","17,32,492",1109
202002,112100,633050,963127,869757,452
202003,1183,15851,9607,24636,0
